,Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles
404,metharbital,-1.658,1,198.222,1,1,2,66.48,-2.23,CCC1(CC)C(=O)NC(=O)N(C)C1=O
405,deoxycorticosterone acetate,-4.472,1,372.50500000000017,0,4,3,60.44000000000001,-4.63,CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
406,benzylurea,-1.509,1,150.18099999999995,2,1,2,55.12000000000001,-0.95,NC(=O)NCC1:C:C:C:C:C:1
407,Chlortoluron,-3.048,1,212.68,1,1,1,32.34,-3.483,CC1:C:C:C(NC(=O)N(C)C):C:C:1Cl
408,Linuron,-3.5810000000000004,1,249.097,1,1,2,41.57,-3.592,CON(C)C(=O)NC1:C:C:C(Cl):C(Cl):C:1
409,Cycloheptanol,-1.7,1,114.18799999999999,1,1,0,20.23,-0.88,OC1CCCCCC1
410,Thiamphenicol,-1.936,1,356.22700000000015,3,1,6,103.70000000000002,-2.154,CS(=O)(=O)C1:C:C:C(C(O)C(CO)NC(=O)C(Cl)Cl):C:C:1
411,thiopental,-2.96,1,242.344,2,1,4,58.2,-3.36,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
412,acetazolamide,-0.7929999999999999,1,222.25099999999998,2,1,2,115.04,-2.36,CC(=O)NC1:N:N:C(S(N)(=O)=O):S:1
413,p-Nitrophenol,-2.318,1,139.11,1,1,1,63.37,-0.74,O=[N+]([O-])C1:C:C:C(O):C:C:1
414,Aldrin,-5.511,1,364.914,0,4,0,0.0,-6.307,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl
415,Tetrahydrofurane ,-0.62,2,72.107,0,1,0,9.23,0.49,C1CCOC1
416,o-Nitroaniline,-2.277,1,138.126,1,1,1,69.16,-1.96,NC1:C:C:C:C:C:1[N+](=O)[O-]
417,"2,2',3,3'-PCB",-6.079,1,291.992,0,2,1,0.0,-7.28,ClC1:C:C:C:C(C2:C:C:C:C(Cl):C:2Cl):C:1Cl
418,phenylbutazone,-4.0760000000000005,1,308.3810000000001,0,3,5,40.62000000000001,-3.81,CCCCC1C(=O)N(C2:C:C:C:C:C:2)N(C2:C:C:C:C:C:2)C1=O
419,"2,6-Dinitrotoluene",-2.553,1,182.135,0,1,2,86.28,-3.0,CC1:C([N+](=O)[O-]):C:C:C:C:1[N+](=O)[O-]
420,Progesterone,-4.17,1,314.46900000000005,0,4,1,34.14,-4.42,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
421,Chlorazine,-3.663,1,257.76899999999995,0,1,6,45.15000000000001,-4.4110000000000005,CCN(CC)C1:N:C(Cl):N:C(N(CC)CC):N:1
422,captafol,-4.365,1,349.06600000000014,0,2,3,37.38,-5.4,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl
423,"1,2,4-tribromobenzene",-5.144,1,314.802,0,1,0,0.0,-4.5,BrC1:C:C:C(Br):C(Br):C:1
424,Oxazepam,-3.517,1,286.718,2,3,1,61.69000000000001,-3.952,O=C1NC2:C:C:C(Cl):C:C:2C(C2:C:C:C:C:C:2)=NC1O
425,Secobarbital,-2.415,1,238.28699999999995,2,1,5,75.27000000000002,-2.356,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
426,Carvacrol,-3.224,1,150.22099999999998,1,1,1,20.23,-2.08,CC1:C:C:C(C(C)C):C:C:1O
427,rhodanine,-0.396,1,133.197,1,1,0,29.1,-1.77,O=C1CSC(=S)N1
428,Morin,-2.7310000000000003,1,302.23800000000006,5,3,1,131.36,-3.083,O=C1:C(O):C(C2:C:C:C(O):C:C:2O):O:C2:C:C(O):C:C(O):C:1:2
429,Kepone,-5.112,1,490.6390000000002,0,6,0,17.07,-5.259,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
430,Disulfiram,-3.862,1,296.55200000000013,0,0,4,6.48,-4.86,CCN(CC)C(=S)SSC(=S)N(CC)CC
431,Cyclohexane,-2.477,2,84.162,0,1,0,0.0,-3.1,C1CCCCC1
432,Dienochlor,-7.848,1,474.64,0,2,1,0.0,-7.278,ClC1=C(Cl)C(Cl)(C2(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl
433,chlordimeform,-3.164,1,196.681,0,1,2,15.6,-2.86,CC1:C:C(Cl):C:C:C:1N=CN(C)C
434,Equilenin,-3.927,1,266.34,1,4,0,37.3,-5.24,CC12CCC3:C(:C:C:C4:C:C(O):C:C:C:3:4)C1CCC2=O
435,1-Octanol,-2.105,1,130.23100000000002,1,0,6,20.23,-2.39,CCCCCCCCO
436,Diethyl sulfide,-1.598,1,90.191,0,0,2,0.0,-1.34,CCSCC
437,"1,2-Dichloroethane",-1.374,1,98.96,0,0,1,0.0,-1.06,ClCCCl
438,2-Chloro-2-methylbutane,-2.278,1,106.596,0,0,1,0.0,-2.51,CCC(C)(C)Cl
439,1-Chloro-2-bromoethane,-1.7380000000000002,1,143.411,0,0,1,0.0,-1.32,ClCCBr
440,p-Nitroaniline,-1.936,1,138.126,1,1,1,69.16,-2.37,NC1:C:C:C([N+](=O)[O-]):C:C:1
441,Lactose,1.071,1,342.29699999999997,8,2,4,189.53,-0.244,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
442,RTI 2,-3.125,1,268.32,0,3,2,49.33000000000001,-2.86,CCN1C(=O)C2:C:C:C:N:C:2N(CC)C2:N:C:C:C:C:21
443,Chlorobenzene,-2.975,1,112.55899999999995,0,1,0,0.0,-2.38,ClC1:C:C:C:C:C:1
444,1-Nonene ,-3.427,1,126.243,0,0,6,0.0,-5.05,C=CCCCCCCC
445,p-Bromoiodobenzene,-4.754,1,282.90599999999995,0,1,0,0.0,-4.56,BrC1:C:C:C(I):C:C:1
446,3-Methyl-3-pentanol,-1.308,1,102.17699999999998,1,0,2,20.23,-0.36,CCC(C)(O)CC
447,Pentylbenzene,-3.899,1,148.249,0,1,4,0.0,-4.64,CCCCCC1:C:C:C:C:C:1
448,allantoin,0.652,1,158.11700000000002,4,1,1,113.32,-1.6,NC(=O)NC1NC(=O)NC1=O
449,Glafenine,-5.052,1,372.80800000000016,3,3,6,91.68,-4.5710000000000015,O=C(OCC(O)CO)C1:C:C:C:C:C:1NC1:C:C:N:C2:C:C(Cl):C:C:C:1:2
450,DDD,-6.007999999999999,1,320.04600000000005,0,2,3,0.0,-7.2,ClC1:C:C:C(C(C2:C:C:C(Cl):C:C:2)C(Cl)Cl):C:C:1
451,testosterone acetate,-4.449,1,330.46800000000013,0,4,1,43.37000000000001,-5.184,CC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
452,1-Chloronapthalene,-4.063,1,162.61899999999997,0,2,0,0.0,-3.93,ClC1:C:C:C:C2:C:C:C:C:C:1:2
453,RTI 19,-4.007,1,252.31699999999995,0,3,1,23.55,-4.749,CCN1C2:C:C:C:C:C:2C(=O)N(C)C2:C:C:C:C:C:21
454,2-Hexanol,-1.324,1,102.17699999999998,1,0,3,20.23,-0.89,CCCCC(C)O
455,Propylcyclopentane,-3.16,1,112.216,0,1,2,0.0,-4.74,CCCC1CCCC1
456,Etomidate,-3.359,1,244.294,0,2,4,44.12,-4.735,CCOC(=O)C1:C:N:C:N:1C(C)C1:C:C:C:C:C:1
457,"3,4-Dichlorophenol",-3.352,1,163.003,1,1,0,20.23,-1.25,OC1:C:C:C(Cl):C(Cl):C:1
458,Cypermethrin,-6.775,1,416.30400000000014,0,3,6,59.32000000000001,-8.017000000000001,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1:C:C:C:C(OC2:C:C:C:C:C:2):C:1
459,Benzoxazole,-2.214,2,119.12299999999998,0,2,0,26.03,-1.16,C1:C:C:C2:O:C:N:C:2:C:1
460,1-Pentanol,-1.042,1,88.14999999999998,1,0,3,20.23,-0.6,CCCCCO
461,"N,N-Diethylaniline",-3.16,1,149.237,0,1,3,3.24,-3.03,CCN(CC)C1:C:C:C:C:C:1
462,"1,3-Difluorobenzene",-2.636,1,114.094,0,1,0,0.0,-2.0,FC1:C:C:C:C(F):C:1
463,3-chloropropionitrile,-0.522,1,89.525,0,0,1,23.79,-0.29,N#CCCCl
464,t-Pentylbenzene,-3.867,1,148.249,0,1,1,0.0,-4.15,CC(C)(C)CC1:C:C:C:C:C:1
465,5-Ethyl-5-phenylbarbital,-2.272,1,232.239,2,2,2,75.27000000000002,-2.322,CCC1(C2:C:C:C:C:C:2)C(=O)NC(=O)NC1=O
466,o-Chloroiodobenzene,-4.384,1,238.455,0,1,0,0.0,-3.54,ClC1:C:C:C:C:C:1I
467,Benzotriazole,-2.21,2,119.12700000000001,1,2,0,41.57,-0.78,C1:C:C:C2:[NH]:N:N:C:2:C:1
468,Carbofuran,-3.05,1,221.25599999999997,1,2,1,47.56,-2.8,CNC(=O)OC1:C:C:C:C2:C:1OC(C)(C)C2
469,"2,6-Dimethylphenol",-2.589,1,122.167,1,1,0,20.23,-1.29,CC1:C:C:C:C(C):C:1O
470,3-Methyl-2-butanol,-0.954,1,88.14999999999998,1,0,1,20.23,-0.18,CC(C)C(C)O
471,benzhydrol,-3.033,1,184.238,1,2,2,20.23,-2.55,OC(C1:C:C:C:C:C:1)C1:C:C:C:C:C:1
472,Methyl decanoate,-3.3160000000000003,1,186.295,0,0,8,26.3,-4.69,CCCCCCCCCC(=O)OC
473,Dicapthon,-4.188,1,297.656,0,1,5,70.83000000000001,-4.31,COP(=S)(OC)OC1:C:C:C([N+](=O)[O-]):C:C:1Cl
474,1-Bromo-2-methylpropane,-2.2880000000000003,1,137.01999999999998,0,0,1,0.0,-2.43,CC(C)CBr
475,Iodoethane,-2.066,1,155.966,0,0,0,0.0,-1.6,CCI
476,Pirimicarb,-2.34,1,238.291,0,1,2,58.56000000000001,-1.95,CC1:N:C(N(C)C):N:C(OC(=O)N(C)C):C:1C
477,1-Bromohexane,-3.012,1,165.074,0,0,4,0.0,-3.81,CCCCCCBr
478,2-Methylpentane,-2.6,1,86.178,0,0,2,0.0,-3.74,CCCC(C)C
479,Tetrafluthrin,-6.339,1,418.73600000000016,0,2,4,26.3,-7.3210000000000015,CC1:C(F):C(F):C(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C):C(F):C:1F
480,Metolachlor,-3.431,1,283.79899999999986,0,1,6,29.54,-2.73,CCC1:C:C:C:C(C):C:1N(C(=O)CCl)C(C)COC
481,nifuroxime,-1.843,1,156.09699999999995,1,1,2,88.87,-2.19,O=[N+]([O-])C1:C:C:C(C=NO):O:1
482,Fluvalinate,-8.057,1,502.92000000000013,1,3,8,71.35,-8.003,CC(C)C(NC1:C:C:C(C(F)(F)F):C:C:1Cl)C(=O)OC(C#N)C1:C:C:C:C(OC2:C:C:C:C:C:2):C:1
483,Amitrole,-0.674,1,84.08200000000001,2,1,0,67.59,0.522,NC1:N:C:[NH]:N:1
484,Tribromomethane,-2.904,1,252.731,0,0,0,0.0,-1.91,BrC(Br)Br
485,Trichlorfon,-1.866,1,257.437,1,0,3,55.76000000000001,-0.22,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
486,Phosalone,-5.024,1,367.81600000000014,0,2,7,53.6,-5.233,CCOP(=S)(OCC)SCN1:C(=O):O:C2:C:C(Cl):C:C:C:2:1
487,Phenylmethanol,-1.699,1,108.13999999999996,1,1,1,20.23,-0.4,OCC1:C:C:C:C:C:1
488,Coumatetralyl,-5.194,1,292.33400000000006,1,4,1,50.44,-2.84,O=C1:O:C2:C:C:C:C:C:2:C(O):C:1C1CCCC2:C:C:C:C:C:21
489,4-Bromophenol,-3.132,1,173.009,1,1,0,20.23,-1.09,OC1:C:C:C(Br):C:C:1
490,2-Bromopropane,-1.949,1,122.993,0,0,0,0.0,-1.59,CC(C)Br
491,"2,2,4-Trimethylpentane",-3.276,1,114.232,0,0,1,0.0,-4.74,CC(C)CC(C)(C)C
492,"1,3,5-Trinitrobenzene",-2.324,1,213.105,0,1,3,129.42000000000002,-2.89,O=[N+]([O-])C1:C:C([N+](=O)[O-]):C:C([N+](=O)[O-]):C:1
493,Nimetazepam,-3.557,1,295.29800000000006,0,3,2,75.81,-3.796,CN1C(=O)CN=C(C2:C:C:C:C:C:2)C2:C:C([N+](=O)[O-]):C:C:C:21
494,Propane,-1.5530000000000002,1,44.097,0,0,0,0.0,-1.94,CCC
495,Minoxidil,-1.809,1,209.253,2,2,1,95.11,-1.989,NC1:C:C(N2CCCCC2):N:C(N):[N+]:1[O-]
496,1-aminoacridine,-3.542,1,194.237,1,3,0,38.91,-4.22,NC1:C:C:C:C2:N:C3:C:C:C:C:C:3:C:C:1:2
497,Benzo(k)fluoranthene,-6.0070000000000014,2,252.316,0,5,0,0.0,-8.49,C1:C:C:C2:C:C3:C(:C:C:2:C:1)C1:C:C:C:C2:C:C:C:C3:C:1:2
498,Dicofol,-6.268,1,370.49,1,2,2,20.23,-5.666,OC(C1:C:C:C(Cl):C:C:1)(C1:C:C:C(Cl):C:C:1)C(Cl)(Cl)Cl
499,Acenapthene,-3.792,2,154.21199999999996,0,3,0,0.0,-4.63,C1:C:C2:C3:C(:C:C:C:C:3:C:1)CC2
500,Dialifos,-5.026,1,393.85400000000016,0,2,8,55.84,-6.34,CCOP(=S)(OCC)SC(CCl)N1C(=O)C2:C:C:C:C:C:2C1=O
501,"1,4-Dibromobenzene",-4.298,1,235.906,0,1,0,0.0,-4.07,BrC1:C:C:C(Br):C:C:1
502,Methazole,-3.6010000000000004,1,261.064,0,2,1,57.14,-2.82,CN1:C(=O):O:N(C2:C:C:C(Cl):C(Cl):C:2):C:1=O
503,p-Phenylphenol,-3.701,1,170.21099999999998,1,2,1,20.23,-3.48,OC1:C:C:C(C2:C:C:C:C:C:2):C:C:1
504,pyracarbolid,-2.83,1,217.26800000000003,1,2,2,38.33,-2.56,CC1=C(C(=O)NC2:C:C:C:C:C:2)CCCO1
505,Ethyl vinyl ether,-0.857,1,72.10700000000001,0,0,2,9.23,-0.85,C=COCC
506,1-Butyne,-1.092,1,54.09199999999999,0,0,0,0.0,-1.24,C#CCC
507,4-methoxypteridine,-1.589,1,162.15200000000004,0,2,1,60.790000000000006,-1.11,COC1:N:C:N:C2:N:C:C:N:C:1:2
508,3-Methyl-3-heptanol,-2.017,1,130.23099999999997,1,0,4,20.23,-1.6,CCCCC(C)(O)CC
509,"1,4-Dichlorobenzene",-3.5580000000000003,1,147.00400000000005,0,1,0,0.0,-3.27,ClC1:C:C:C(Cl):C:C:1
510,3-Ethanoyloxymethylphenytoin,-2.7230000000000003,1,324.33600000000007,1,3,4,75.71,-4.47,CC(=O)OCN1C(=O)NC(C2:C:C:C:C:C:2)(C2:C:C:C:C:C:2)C1=O
511,"Sparsomycin (3,8mg/ml)",-1.57,1,361.44500000000016,4,1,8,132.11999999999998,-1.981,CSCS(=O)CC(CO)NC(=O)C=CC1:C(C):[NH]:C(=O):[NH]:C:1=O
512,3-methylindole,-2.9810000000000003,1,131.17799999999997,1,2,0,15.79,-2.42,CC1:C:[NH]:C2:C:C:C:C:C:1:2
513,2-methoxypteridine,-1.589,1,162.15200000000002,0,2,1,60.790000000000006,-1.11,COC1:N:C:C2:N:C:C:N:C:2:N:1
514,Dioxacarb,-1.614,1,223.22799999999995,1,2,2,56.790000000000006,-1.57,CNC(=O)OC1:C:C:C:C:C:1C1OCCO1
515,isocarbamid,-1.508,1,185.227,2,1,2,61.44000000000001,-2.15,CC(C)CNC(=O)N1CCNC1=O
516,Acetonitrile,0.152,1,41.053000000000004,0,0,0,23.79,0.26,CC#N
517,Fenoxycarb,-4.662,1,301.3420000000001,1,2,7,56.790000000000006,-4.7,CCOC(=O)NCCOC1:C:C:C(OC2:C:C:C:C:C:2):C:C:1
518,acetyl sulfisoxazole,-2.024,1,293.34800000000007,1,2,3,89.43,-3.59,CC(=O)N(C1:O:N:C(C):C:1C)S(=O)C1:C:C:C(N):C:C:1
519,"1,1,1,2-Tetrachloroethane",-2.794,1,167.85,0,0,0,0.0,-2.18,ClCC(Cl)(Cl)Cl
520,1-Butanol,-0.688,1,74.12299999999998,1,0,2,20.23,0.0,CCCCO
521,Siduron,-3.779,1,232.32700000000003,2,2,2,41.13,-4.11,CC1CCCCC1NC(=O)NC1:C:C:C:C:C:1
522,"1,3,5-Trichlorobenzene",-4.159,1,181.449,0,1,0,0.0,-4.48,ClC1:C:C(Cl):C:C(Cl):C:1
523,Furfural,-1.391,1,96.08499999999998,0,1,1,30.21,-0.1,O=CC1:C:C:C:O:1
524,3-Methylbutan-1-ol,-1.027,1,88.14999999999998,1,0,2,20.23,-0.51,CC(C)CCO
525,piperonal,-2.033,1,150.13299999999995,0,2,1,35.53,-1.63,O=CC1:C:C:C2:C(:C:1)OCO2
526,2-Methylpropene,-1.5730000000000002,1,56.108,0,0,0,0.0,-2.33,C=C(C)C
527,Benzaldehyde,-1.999,1,106.12399999999997,0,1,1,17.07,-1.19,O=CC1:C:C:C:C:C:1
528,"2,3-Dimethyl-1,3-Butadiene",-2.052,1,82.146,0,0,1,0.0,-2.4,C=C(C)C(=C)C
529,Benfuracarb,-5.132999999999999,1,410.5360000000002,0,2,8,68.31,-4.71,CCOC(=O)CCN(SN(C)C(=O)OC1:C:C:C:C2:C:1OC(C)(C)C2)C(C)C
530,RTI 10,-2.7710000000000004,1,226.235,0,3,0,42.43,-3.672,CN1C(=O)C2:C:C:C:N:C:2OC2:C:C:C:C:C:21
531,Fluorene ,-4.125,2,166.22299999999996,0,3,0,0.0,-5.0,C1:C:C:C2:C(:C:1)CC1:C:C:C:C:C:12
532,Methylcyclohexane ,-2.891,1,98.189,0,1,0,0.0,-3.85,CC1CCCCC1
533,sulfaguanidine,-0.706,1,214.25,4,1,2,122.06,-1.99,N=C(N)NS(=O)(=O)C1:C:C:C(N):C:C:1
534,Methylparaben,-2.441,1,152.149,1,1,1,46.53,-1.827,COC(=O)C1:C:C:C(O):C:C:1
535,2-Methyltetrahydrofurane,-1.034,1,86.134,0,1,0,9.23,0.11,CC1CCCO1
536,Santonin,-2.43,1,246.30599999999995,0,3,0,43.37000000000001,-3.09,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O
537,Salicin,-0.975,1,286.28,5,2,4,119.61,-0.85,OCC1:C:C:C:C:C:1OC1OC(CO)C(O)C(O)C1O
538,1-Iodopropane,-2.486,1,169.993,0,0,1,0.0,-2.29,CCCI
539,Ametryn,-3.43,1,227.33700000000002,2,1,5,62.73,-3.04,CCNC1:N:C(NC(C)C):N:C(SC):N:1
540,1-Propanol,-0.334,1,60.096000000000004,1,0,1,20.23,0.62,CCCO
541,Hydroxyprogesterone-17a,-3.876,1,330.46800000000013,1,4,1,54.37,-3.817,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
542,2-Pentanol,-0.97,1,88.14999999999998,1,0,2,20.23,-0.29,CCCC(C)O
543,benzoin,-3.148,1,212.248,1,2,3,37.3,-2.85,O=C(C1:C:C:C:C:C:1)C(O)C1:C:C:C:C:C:1
544,"2,4-Dimethylphenol",-2.6210000000000004,1,122.167,1,1,0,20.23,-1.19,CC1:C:C:C(O):C(C):C:1
545,m-Chloronitrobenzene ,-2.901,1,157.55599999999995,0,1,1,43.14,-2.77,O=[N+]([O-])C1:C:C:C:C(Cl):C:1
546,ampyrone,-1.192,1,203.245,1,2,1,52.95,-0.624,CC1:C(N):C(=O):N(C2:C:C:C:C:C:2):N:1C
547,"2,2',4,5'-PCB",-6.23,1,291.992,0,2,1,0.0,-6.57,ClC1:C:C:C(C2:C:C(Cl):C:C:C:2Cl):C(Cl):C:1
548,"Hexachloro-1,3-butadiene",-4.546,1,260.762,0,0,1,0.0,-4.92,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl
549,Terbutryn,-3.75,1,241.364,2,1,4,62.73,-4.0,CCNC1:N:C(NC(C)(C)C):N:C(SC):N:1
550,3-Methyl-2-pentanol,-1.308,1,102.177,1,0,3,20.23,-0.71,CCC(C)CCO
551,2-methylpteridine,-1.24,1,146.153,0,2,0,51.56,-0.12,CC1:N:C:C2:N:C:C:N:C:2:N:1
552,Danazol,-4.557,1,337.46300000000014,1,5,0,46.26000000000001,-5.5070000000000014,C#CC1(O)CCC2C3CCC4=CC5:O:N:C:C:5CC4(C)C3CCC21C
553,1-Iodobutane,-2.841,1,184.02,0,0,2,0.0,-2.96,CCCCI
554,2-Bromonapthalene,-4.434,1,207.07,0,2,0,0.0,-4.4,BrC1:C:C:C2:C:C:C:C:C:2:C:1
555,"Digoxin (L1=41,8mg/mL, L2=68,2mg/mL, Z=40,1mg/mL)",-5.312,1,780.9490000000002,6,8,7,203.06,-4.081,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
556,Benzyltrifluoride,-3.099,1,146.111,0,1,0,0.0,-2.51,FC(F)(F)C1:C:C:C:C:C:1
557,Dihexyl phthalate,-5.757999999999999,1,334.45600000000024,0,1,12,52.60000000000001,-6.144,CCCCCCOC(=O)C1:C:C:C:C:C:1C(=O)OCCCCCC
558,Dibenzothiophene,-4.597,2,184.263,0,3,0,0.0,-4.38,C1:C:C:C2:C(:C:1):S:C1:C:C:C:C:C:1:2
559,"2,3',4,4'-PCB",-6.709,1,326.437,0,2,1,0.0,-7.8,ClC1:C:C:C(C2:C:C:C(Cl):C(Cl):C:2Cl):C(Cl):C:1
560,"2,2',3,3',4,4'-PCB",-7.192,1,360.88200000000006,0,2,1,0.0,-8.01,ClC1:C:C:C(C2:C:C:C(Cl):C(Cl):C:2Cl):C(Cl):C:1Cl
561,Warfarin,-3.913,1,308.33300000000014,1,3,4,67.50999999999999,-3.893,CC(=O)CC(C1:C:C:C:C:C:1)C1:C(O):C2:C:C:C:C:C:2:O:C:1=O
562,hydrobenzoin,-2.645,1,214.264,2,2,3,40.46,-1.93,OC(C1:C:C:C:C:C:1)C(O)C1:C:C:C:C:C:1
563,Dimethyl phthalate,-2.347,1,194.18599999999995,0,1,2,52.60000000000001,-1.66,COC(=O)C1:C:C:C:C:C:1C(=O)OC
564,Ethyl octanoate,-2.962,1,172.26799999999997,0,0,7,26.3,-3.39,CCCCCCCC(=O)OCC
565,Diethyldisulfide,-2.364,1,122.258,0,0,3,0.0,-2.42,CCSSCC
566,"1,2-Diethoxyethane ",-0.833,1,118.176,0,0,5,18.46,-0.77,CCOCCOCC
567,"1,2,4,5-Tetrachlorobenzene",-4.621,1,215.894,0,1,0,0.0,-5.56,ClC1:C:C(Cl):C(Cl):C:C:1Cl
568,p-benzidine,-2.613,1,184.24200000000002,2,2,1,52.04,-2.7,NC1:C:C:C(C2:C:C:C(N):C:C:2):C:C:1
569,1-Heptene,-2.718,1,98.189,0,0,4,0.0,-3.73,C=CCCCCC
570,Ethirimol,-2.732,1,209.293,2,1,5,57.78,-3.028,CCCCC1:C(C):N:C(NCC):[NH]:C:1=O
571,Pentobarbital,-2.312,1,226.27599999999995,2,1,4,75.27000000000002,-2.39,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
572,o-Chloroaniline,-2.392,1,127.574,1,1,0,26.02,-1.52,NC1:C:C:C:C:C:1Cl
573,3-Chloroanisole,-3.057,1,142.58499999999995,0,1,1,9.23,-2.78,COC1:C:C:C:C(Cl):C:1
574,Pebulate,-3.131,1,203.351,0,0,6,20.31,-3.53,CCCCN(CC)C(=O)SCCC
575,Butyl acetate,-1.111,1,102.13299999999998,0,0,4,26.3,-1.37,CCCCOC=O
576,Prednisolone,-2.974,1,360.45000000000016,3,4,2,94.83,-3.18,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
577,Bromodichloromethane,-2.176,1,163.82899999999995,0,0,0,0.0,-1.54,ClC(Cl)Br
578,adrenosterone,-2.99,1,300.39800000000014,0,4,0,51.21,-3.48,CC12CC(=O)C3C(CCC4=CC(=O)CCC43C)C1CCC2=O
579,p-terphenyl,-5.7410000000000005,2,230.31,0,3,2,0.0,-7.11,C1:C:C:C(C2:C:C:C(C3:C:C:C:C:C:3):C:C:2):C:C:1
580,p-Hydroxybenzaldehyde ,-2.003,1,122.12299999999998,1,1,1,37.3,-0.96,O=CC1:C:C:C(O):C:C:1
581,Bromomethane,-1.109,1,94.939,0,0,0,0.0,-0.79,CBr
582,Perfluidone,-4.945,1,379.381,1,2,4,80.31,-3.8,CC1:C:C(S(=O)(=O)C2:C:C:C:C:C:2):C:C:C:1NS(=O)(=O)C(F)(F)F
583,Coumachlor,-4.5539999999999985,1,342.77800000000013,1,3,4,67.50999999999999,-5.839,CC(=O)CC(C1:C:C:C(Cl):C:C:1)C1:C(O):C2:C:C:C:C:C:2:O:C:1=O
584,2-Ethylnaphthalene,-4.1,1,156.22799999999995,0,2,1,0.0,-4.29,CCC1:C:C:C2:C:C:C:C:C:2:C:1
585,5-methylcytosine,-0.257,1,125.131,2,1,0,71.77000000000002,-1.4580000000000002,CC1:C:[NH]:C(=O):N:C:1N
586,"2,3,4,5,6-PCB",-6.785,1,326.437,0,2,1,0.0,-7.92,ClC1:C(Cl):C(Cl):C(C2:C:C:C:C:C:2):C(Cl):C:1Cl
587,benodanil,-4.245,1,323.133,1,2,2,29.1,-4.21,O=C(NC1:C:C:C:C:C:1)C1:C:C:C:C:C:1I
588,Riboflavin,-1.865,1,376.36900000000014,5,3,5,161.56,-3.685,CC1:C:C2:N:C3:C(=O):[NH]:C(=O):N:C3:N(CC(O)C(O)C(O)CO):C:2:C:C:1C
589,o-Fluorobromobenzene,-3.467,1,175.0,0,1,0,0.0,-2.7,FC1:C:C:C:C:C:1Br
590,"2,4-Dichlorophenol ",-3.22,1,163.003,1,1,0,20.23,-1.55,OC1:C:C:C(Cl):C:C:1Cl
591,Permethrin,-7.129,1,391.29400000000015,0,3,6,35.53,-6.291,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCC1:C:C:C:C(OC2:C:C:C:C:C:2):C:1
592,piroxicam,-3.4730000000000003,1,331.353,2,3,2,99.6,-4.16,CN1C(C(=O)NC2:C:C:C:C:N:2)=C(O)C2:C:C:C:C:C:2S1(=O)=O
593,3-Propanoyloxymethylphenytoin,-3.128,1,338.36300000000006,1,3,5,75.71,-4.907,CCC(=O)OCN1C(=O)NC(C2:C:C:C:C:C:2)(C2:C:C:C:C:C:2)C1=O
594,Cyclopentane ,-2.0380000000000003,2,70.135,0,1,0,0.0,-2.64,C1CCCC1
595,o-Toluidine,-1.922,1,107.156,1,1,0,26.02,-2.21,CC1:C:C:C:C:C:1N
596,Estragole,-3.074,1,148.205,0,1,3,9.23,-2.92,C=CCC1:C:C:C(OC):C:C:1
597,karbutilate,-2.655,1,279.34,2,1,2,70.67,-2.93,CN(C)C(=O)NC1:C:C:C:C(OC(=O)NC(C)(C)C):C:1
598,3-Methyl-1-Butene,-1.994,1,70.135,0,0,1,0.0,-2.73,C=CC(C)C
599,2-Hydroxypyridine,-1.655,1,95.101,1,1,0,33.120000000000005,1.02,OC1:C:C:C:C:N:1
600,Ethane,-1.132,1,30.07,0,0,0,0.0,-1.36,CC
601,"1,2-Dichlorobenzene",-3.482,1,147.00399999999996,0,1,0,0.0,-3.05,ClC1:C:C:C:C:C:1Cl
602,mercaptobenzothiazole,-3.411,1,167.25799999999995,1,2,0,12.89,-3.18,SC1:N:C2:C:C:C:C:C:2:S:1
